"Pitch_Type","Event_Type","Residual"
"A","home_run",0.301635526982792
"B","home_run",-3.02360098569098
"C","home_run",2.79804389545283
"D","home_run",5.86259039708344
"E","home_run",-0.213974020660104
"F","home_run",-5.85210641379607
"G","home_run",6.49564937634912
"H","home_run",-4.09545459131804
"I","home_run",-3.49013319384383
"A","strikeout",-0.127396180970833
"B","strikeout",1.27702204779959
"C","strikeout",-1.18175769954902
"D","strikeout",-2.47607314249595
"E","strikeout",0.0903722228337721
"F","strikeout",2.47164521769037
"G","strikeout",-2.74344647578484
"H","strikeout",1.7297208969126
"I","strikeout",1.47406256956132
